participant_id,video_no,conflict,action,scale_score,item5_score
88,1,葛藤あり,行動あり,7.0,7
89,1,葛藤あり,行動あり,5.75,7
90,1,葛藤あり,行動あり,5.25,5
91,1,葛藤あり,行動あり,6.0,6
92,1,葛藤あり,行動あり,6.0,6
93,1,葛藤あり,行動あり,4.75,5
94,1,葛藤あり,行動あり,4.75,5
95,1,葛藤あり,行動あり,6.25,5
96,1,葛藤あり,行動あり,6.0,6
97,1,葛藤あり,行動あり,5.25,6
98,1,葛藤あり,行動あり,5.0,5
99,1,葛藤あり,行動あり,4.75,7
100,1,葛藤あり,行動あり,5.0,7
101,1,葛藤あり,行動あり,5.0,5
102,1,葛藤あり,行動あり,4.5,5
103,1,葛藤あり,行動あり,5.5,6
104,1,葛藤あり,行動あり,4.0,7
105,1,葛藤あり,行動あり,4.75,4
106,1,葛藤あり,行動あり,5.5,6
107,1,葛藤あり,行動あり,5.5,5
108,1,葛藤あり,行動あり,7.0,7
109,1,葛藤あり,行動あり,6.0,6
110,1,葛藤あり,行動あり,5.0,5
111,1,葛藤あり,行動あり,3.25,2
112,1,葛藤あり,行動あり,6.0,6
113,1,葛藤あり,行動あり,4.0,5
114,1,葛藤あり,行動あり,5.5,6
115,1,葛藤あり,行動あり,4.25,5
116,1,葛藤あり,行動あり,6.0,6
117,1,葛藤あり,行動あり,5.0,5
118,1,葛藤あり,行動あり,5.0,5
119,1,葛藤あり,行動あり,5.5,6
120,1,葛藤あり,行動あり,4.75,5
121,1,葛藤あり,行動あり,5.75,6
122,1,葛藤あり,行動あり,5.5,5
123,1,葛藤あり,行動あり,4.5,5
124,1,葛藤あり,行動あり,5.5,7
125,1,葛藤あり,行動あり,5.0,5
126,1,葛藤あり,行動あり,4.0,5
1,2,葛藤あり,行動なし,5.0,5
2,2,葛藤あり,行動なし,4.75,5
3,2,葛藤あり,行動なし,5.0,5
4,2,葛藤あり,行動なし,5.5,6
5,2,葛藤あり,行動なし,4.75,5
6,2,葛藤あり,行動なし,6.25,6
7,2,葛藤あり,行動なし,5.75,5
8,2,葛藤あり,行動なし,6.75,1
9,2,葛藤あり,行動なし,5.0,5
10,2,葛藤あり,行動なし,4.75,5
11,2,葛藤あり,行動なし,6.0,7
12,2,葛藤あり,行動なし,3.25,4
13,2,葛藤あり,行動なし,6.0,6
14,2,葛藤あり,行動なし,5.5,5
15,2,葛藤あり,行動なし,2.0,2
16,2,葛藤あり,行動なし,6.75,7
17,2,葛藤あり,行動なし,5.0,5
18,2,葛藤あり,行動なし,3.5,4
19,2,葛藤あり,行動なし,5.5,6
20,2,葛藤あり,行動なし,6.25,7
21,2,葛藤あり,行動なし,3.75,3
22,2,葛藤あり,行動なし,6.0,5
23,2,葛藤あり,行動なし,5.25,7
24,2,葛藤あり,行動なし,2.5,3
25,2,葛藤あり,行動なし,6.75,7
26,2,葛藤あり,行動なし,3.5,3
27,2,葛藤あり,行動なし,6.5,6
28,2,葛藤あり,行動なし,6.5,6
29,2,葛藤あり,行動なし,4.75,4
30,2,葛藤あり,行動なし,6.0,6
31,2,葛藤あり,行動なし,3.0,3
32,2,葛藤あり,行動なし,6.0,7
33,2,葛藤あり,行動なし,5.25,5
34,2,葛藤あり,行動なし,6.75,7
35,2,葛藤あり,行動なし,6.0,6
36,2,葛藤あり,行動なし,1.75,1
37,2,葛藤あり,行動なし,6.5,7
38,2,葛藤あり,行動なし,6.25,6
39,2,葛藤あり,行動なし,3.75,5
40,2,葛藤あり,行動なし,6.0,6
41,2,葛藤あり,行動なし,6.0,6
42,2,葛藤あり,行動なし,5.25,5
43,2,葛藤あり,行動なし,5.5,5
44,2,葛藤あり,行動なし,3.0,2
45,2,葛藤あり,行動なし,3.5,4
46,2,葛藤あり,行動なし,3.0,5
47,2,葛藤あり,行動なし,3.0,5
48,2,葛藤あり,行動なし,5.5,6
49,2,葛藤あり,行動なし,4.5,3
50,2,葛藤あり,行動なし,5.25,6
51,2,葛藤あり,行動なし,5.75,4
52,2,葛藤あり,行動なし,6.0,6
53,2,葛藤あり,行動なし,4.0,4
54,2,葛藤あり,行動なし,5.0,5
55,2,葛藤あり,行動なし,6.25,7
56,2,葛藤あり,行動なし,5.5,6
57,2,葛藤あり,行動なし,5.0,5
58,2,葛藤あり,行動なし,5.5,6
59,2,葛藤あり,行動なし,7.0,7
60,2,葛藤あり,行動なし,6.0,6
61,2,葛藤あり,行動なし,4.0,3
62,2,葛藤あり,行動なし,5.0,5
63,2,葛藤あり,行動なし,6.5,6
64,2,葛藤あり,行動なし,6.5,6
65,2,葛藤あり,行動なし,3.5,3
66,2,葛藤あり,行動なし,4.0,4
67,2,葛藤あり,行動なし,5.0,6
68,2,葛藤あり,行動なし,6.75,7
69,2,葛藤あり,行動なし,6.5,7
70,2,葛藤あり,行動なし,5.0,5
71,2,葛藤あり,行動なし,6.75,7
72,2,葛藤あり,行動なし,4.75,5
73,2,葛藤あり,行動なし,2.75,2
74,2,葛藤あり,行動なし,5.25,3
75,2,葛藤あり,行動なし,4.25,5
76,2,葛藤あり,行動なし,4.75,7
77,2,葛藤あり,行動なし,4.75,7
78,2,葛藤あり,行動なし,5.25,5
79,2,葛藤あり,行動なし,5.75,1
80,2,葛藤あり,行動なし,6.0,6
81,2,葛藤あり,行動なし,5.5,6
82,2,葛藤あり,行動なし,5.0,5
83,2,葛藤あり,行動なし,6.5,6
84,2,葛藤あり,行動なし,2.75,3
85,2,葛藤あり,行動なし,6.25,6
86,2,葛藤あり,行動なし,4.0,4
87,2,葛藤あり,行動なし,3.75,6
88,2,葛藤あり,行動なし,7.0,7
89,2,葛藤あり,行動なし,5.75,6
90,2,葛藤あり,行動なし,6.0,6
91,2,葛藤あり,行動なし,3.5,1
92,2,葛藤あり,行動なし,6.0,6
93,2,葛藤あり,行動なし,4.75,4
94,2,葛藤あり,行動なし,5.5,6
95,2,葛藤あり,行動なし,5.0,7
96,2,葛藤あり,行動なし,6.0,6
97,2,葛藤あり,行動なし,6.0,5
98,2,葛藤あり,行動なし,5.0,5
99,2,葛藤あり,行動なし,6.25,6
100,2,葛藤あり,行動なし,6.0,5
101,2,葛藤あり,行動なし,4.5,4
102,2,葛藤あり,行動なし,4.75,4
103,2,葛藤あり,行動なし,5.75,6
104,2,葛藤あり,行動なし,4.0,4
105,2,葛藤あり,行動なし,4.5,4
106,2,葛藤あり,行動なし,5.5,6
107,2,葛藤あり,行動なし,6.25,6
108,2,葛藤あり,行動なし,7.0,7
109,2,葛藤あり,行動なし,7.0,6
110,2,葛藤あり,行動なし,6.0,6
111,2,葛藤あり,行動なし,4.25,5
112,2,葛藤あり,行動なし,6.25,7
113,2,葛藤あり,行動なし,6.25,5
114,2,葛藤あり,行動なし,6.0,6
115,2,葛藤あり,行動なし,4.25,5
116,2,葛藤あり,行動なし,6.0,6
117,2,葛藤あり,行動なし,6.0,5
118,2,葛藤あり,行動なし,5.0,5
119,2,葛藤あり,行動なし,5.75,6
120,2,葛藤あり,行動なし,5.0,5
121,2,葛藤あり,行動なし,6.5,7
122,2,葛藤あり,行動なし,6.25,6
123,2,葛藤あり,行動なし,4.75,5
124,2,葛藤あり,行動なし,4.25,7
125,2,葛藤あり,行動なし,4.0,4
126,2,葛藤あり,行動なし,5.0,5
1,3,葛藤なし,行動あり,4.5,4
2,3,葛藤なし,行動あり,4.5,4
3,3,葛藤なし,行動あり,5.0,5
4,3,葛藤なし,行動あり,6.0,5
5,3,葛藤なし,行動あり,4.25,6
6,3,葛藤なし,行動あり,4.25,6
7,3,葛藤なし,行動あり,2.75,2
8,3,葛藤なし,行動あり,1.75,4
9,3,葛藤なし,行動あり,5.25,5
10,3,葛藤なし,行動あり,4.25,4
11,3,葛藤なし,行動あり,1.5,2
12,3,葛藤なし,行動あり,2.75,2
13,3,葛藤なし,行動あり,3.5,3
14,3,葛藤なし,行動あり,2.25,3
15,3,葛藤なし,行動あり,2.5,3
16,3,葛藤なし,行動あり,6.5,6
17,3,葛藤なし,行動あり,2.25,2
18,3,葛藤なし,行動あり,3.75,4
19,3,葛藤なし,行動あり,5.25,6
20,3,葛藤なし,行動あり,5.5,7
21,3,葛藤なし,行動あり,3.5,3
22,3,葛藤なし,行動あり,5.0,5
23,3,葛藤なし,行動あり,5.25,7
24,3,葛藤なし,行動あり,3.5,5
25,3,葛藤なし,行動あり,3.5,7
26,3,葛藤なし,行動あり,4.25,3
27,3,葛藤なし,行動あり,3.0,3
28,3,葛藤なし,行動あり,3.5,4
29,3,葛藤なし,行動あり,1.75,4
30,3,葛藤なし,行動あり,6.0,6
31,3,葛藤なし,行動あり,2.75,3
32,3,葛藤なし,行動あり,5.5,7
33,3,葛藤なし,行動あり,5.5,2
34,3,葛藤なし,行動あり,7.0,7
35,3,葛藤なし,行動あり,5.5,6
36,3,葛藤なし,行動あり,5.0,2
37,3,葛藤なし,行動あり,2.75,5
38,3,葛藤なし,行動あり,5.25,6
39,3,葛藤なし,行動あり,2.25,2
40,3,葛藤なし,行動あり,6.0,6
41,3,葛藤なし,行動あり,3.0,3
42,3,葛藤なし,行動あり,4.25,5
43,3,葛藤なし,行動あり,5.25,6
44,3,葛藤なし,行動あり,1.25,2
45,3,葛藤なし,行動あり,4.0,2
46,3,葛藤なし,行動あり,3.0,3
47,3,葛藤なし,行動あり,1.5,3
48,3,葛藤なし,行動あり,4.75,6
49,3,葛藤なし,行動あり,3.75,2
50,3,葛藤なし,行動あり,5.25,6
51,3,葛藤なし,行動あり,6.0,6
52,3,葛藤なし,行動あり,2.0,2
53,3,葛藤なし,行動あり,4.0,4
54,3,葛藤なし,行動あり,5.0,5
55,3,葛藤なし,行動あり,5.5,6
56,3,葛藤なし,行動あり,3.25,4
57,3,葛藤なし,行動あり,3.75,4
58,3,葛藤なし,行動あり,4.75,5
59,3,葛藤なし,行動あり,5.0,5
60,3,葛藤なし,行動あり,4.5,5
61,3,葛藤なし,行動あり,4.5,5
62,3,葛藤なし,行動あり,5.0,5
63,3,葛藤なし,行動あり,2.25,2
64,3,葛藤なし,行動あり,2.0,2
65,3,葛藤なし,行動あり,2.25,3
66,3,葛藤なし,行動あり,4.0,5
67,3,葛藤なし,行動あり,4.75,6
68,3,葛藤なし,行動あり,3.5,4
69,3,葛藤なし,行動あり,1.5,1
70,3,葛藤なし,行動あり,5.0,5
71,3,葛藤なし,行動あり,1.75,2
72,3,葛藤なし,行動あり,4.5,5
73,3,葛藤なし,行動あり,3.25,4
74,3,葛藤なし,行動あり,2.75,5
75,3,葛藤なし,行動あり,4.25,4
76,3,葛藤なし,行動あり,4.75,3
77,3,葛藤なし,行動あり,5.25,7
78,3,葛藤なし,行動あり,5.0,5
79,3,葛藤なし,行動あり,5.5,6
80,3,葛藤なし,行動あり,5.0,5
81,3,葛藤なし,行動あり,4.75,5
82,3,葛藤なし,行動あり,5.0,5
83,3,葛藤なし,行動あり,4.5,6
84,3,葛藤なし,行動あり,2.0,2
85,3,葛藤なし,行動あり,6.5,6
86,3,葛藤なし,行動あり,4.0,4
87,3,葛藤なし,行動あり,3.75,4
88,3,葛藤なし,行動あり,1.0,1
89,3,葛藤なし,行動あり,5.5,6
90,3,葛藤なし,行動あり,3.0,3
91,3,葛藤なし,行動あり,4.25,5
92,3,葛藤なし,行動あり,1.0,1
93,3,葛藤なし,行動あり,4.5,4
94,3,葛藤なし,行動あり,2.0,2
95,3,葛藤なし,行動あり,6.25,6
96,3,葛藤なし,行動あり,6.0,6
97,3,葛藤なし,行動あり,3.75,5
98,3,葛藤なし,行動あり,3.25,5
99,3,葛藤なし,行動あり,3.75,2
100,3,葛藤なし,行動あり,1.75,1
101,3,葛藤なし,行動あり,4.75,5
102,3,葛藤なし,行動あり,3.75,5
103,3,葛藤なし,行動あり,5.75,6
104,3,葛藤なし,行動あり,4.0,4
105,3,葛藤なし,行動あり,4.25,4
106,3,葛藤なし,行動あり,4.25,4
107,3,葛藤なし,行動あり,5.25,5
108,3,葛藤なし,行動あり,1.0,1
109,3,葛藤なし,行動あり,5.75,5
110,3,葛藤なし,行動あり,4.5,5
111,3,葛藤なし,行動あり,3.75,2
112,3,葛藤なし,行動あり,6.25,6
113,3,葛藤なし,行動あり,2.0,2
114,3,葛藤なし,行動あり,1.0,3
115,3,葛藤なし,行動あり,4.5,5
116,3,葛藤なし,行動あり,6.0,6
117,3,葛藤なし,行動あり,2.25,2
118,3,葛藤なし,行動あり,4.25,5
119,3,葛藤なし,行動あり,5.75,6
120,3,葛藤なし,行動あり,5.5,5
121,3,葛藤なし,行動あり,6.75,7
122,3,葛藤なし,行動あり,5.75,5
123,3,葛藤なし,行動あり,5.0,4
124,3,葛藤なし,行動あり,3.25,5
125,3,葛藤なし,行動あり,4.75,5
126,3,葛藤なし,行動あり,4.25,5
1,4,葛藤なし,行動なし,3.0,3
2,4,葛藤なし,行動なし,4.5,4
3,4,葛藤なし,行動なし,5.25,6
4,4,葛藤なし,行動なし,5.75,6
5,4,葛藤なし,行動なし,3.75,5
6,4,葛藤なし,行動なし,6.25,6
7,4,葛藤なし,行動なし,2.75,2
8,4,葛藤なし,行動なし,3.75,2
9,4,葛藤なし,行動なし,5.0,5
10,4,葛藤なし,行動なし,4.75,4
11,4,葛藤なし,行動なし,6.0,7
12,4,葛藤なし,行動なし,4.75,5
13,4,葛藤なし,行動なし,4.0,4
14,4,葛藤なし,行動なし,5.5,7
15,4,葛藤なし,行動なし,2.75,2
16,4,葛藤なし,行動なし,6.5,7
17,4,葛藤なし,行動なし,2.0,2
18,4,葛藤なし,行動なし,3.75,4
19,4,葛藤なし,行動なし,6.0,7
20,4,葛藤なし,行動なし,2.5,1
21,4,葛藤なし,行動なし,4.0,4
22,4,葛藤なし,行動なし,5.0,5
23,4,葛藤なし,行動なし,4.25,5
24,4,葛藤なし,行動なし,3.25,3
25,4,葛藤なし,行動なし,5.5,7
26,4,葛藤なし,行動なし,5.25,3
27,4,葛藤なし,行動なし,3.25,3
28,4,葛藤なし,行動なし,2.5,4
29,4,葛藤なし,行動なし,1.25,2
30,4,葛藤なし,行動なし,6.0,6
31,4,葛藤なし,行動なし,3.5,3
32,4,葛藤なし,行動なし,6.75,7
33,4,葛藤なし,行動なし,1.0,3
34,4,葛藤なし,行動なし,6.5,6
35,4,葛藤なし,行動なし,5.5,6
36,4,葛藤なし,行動なし,2.0,2
37,4,葛藤なし,行動なし,2.75,2
38,4,葛藤なし,行動なし,6.25,6
39,4,葛藤なし,行動なし,2.0,2
40,4,葛藤なし,行動なし,5.75,6
41,4,葛藤なし,行動なし,5.75,6
42,4,葛藤なし,行動なし,5.0,5
43,4,葛藤なし,行動なし,5.5,5
44,4,葛藤なし,行動なし,1.0,1
45,4,葛藤なし,行動なし,4.25,5
46,4,葛藤なし,行動なし,3.0,5
47,4,葛藤なし,行動なし,3.5,5
48,4,葛藤なし,行動なし,6.0,7
49,4,葛藤なし,行動なし,5.0,5
50,4,葛藤なし,行動なし,5.25,6
51,4,葛藤なし,行動なし,6.25,6
52,4,葛藤なし,行動なし,3.5,2
53,4,葛藤なし,行動なし,4.0,4
54,4,葛藤なし,行動なし,5.0,5
55,4,葛藤なし,行動なし,3.75,6
56,4,葛藤なし,行動なし,5.5,5
57,4,葛藤なし,行動なし,4.0,4
58,4,葛藤なし,行動なし,4.75,5
59,4,葛藤なし,行動なし,1.75,4
60,4,葛藤なし,行動なし,5.0,5
61,4,葛藤なし,行動なし,4.0,5
62,4,葛藤なし,行動なし,5.0,5
63,4,葛藤なし,行動なし,5.0,6
64,4,葛藤なし,行動なし,2.75,2
65,4,葛藤なし,行動なし,2.5,3
66,4,葛藤なし,行動なし,3.75,6
67,4,葛藤なし,行動なし,6.0,6
68,4,葛藤なし,行動なし,4.5,5
69,4,葛藤なし,行動なし,5.75,6
70,4,葛藤なし,行動なし,5.0,5
71,4,葛藤なし,行動なし,2.0,2
72,4,葛藤なし,行動なし,3.75,3
73,4,葛藤なし,行動なし,3.25,3
74,4,葛藤なし,行動なし,6.0,2
75,4,葛藤なし,行動なし,3.25,4
76,4,葛藤なし,行動なし,4.5,5
77,4,葛藤なし,行動なし,2.0,1
78,4,葛藤なし,行動なし,5.0,5
79,4,葛藤なし,行動なし,5.75,6
80,4,葛藤なし,行動なし,3.5,5
81,4,葛藤なし,行動なし,4.75,5
82,4,葛藤なし,行動なし,5.0,5
83,4,葛藤なし,行動なし,4.5,5
84,4,葛藤なし,行動なし,2.5,3
85,4,葛藤なし,行動なし,6.5,6
86,4,葛藤なし,行動なし,4.0,4
87,4,葛藤なし,行動なし,1.5,1
88,4,葛藤なし,行動なし,1.0,1
89,4,葛藤なし,行動なし,7.0,7
90,4,葛藤なし,行動なし,3.0,2
91,4,葛藤なし,行動なし,4.0,6
92,4,葛藤なし,行動なし,1.75,2
93,4,葛藤なし,行動なし,5.25,5
94,4,葛藤なし,行動なし,5.5,5
95,4,葛藤なし,行動なし,6.25,6
96,4,葛藤なし,行動なし,6.0,6
97,4,葛藤なし,行動なし,5.75,6
98,4,葛藤なし,行動なし,5.25,5
99,4,葛藤なし,行動なし,5.25,5
100,4,葛藤なし,行動なし,2.5,1
101,4,葛藤なし,行動なし,4.0,5
102,4,葛藤なし,行動なし,3.5,4
103,4,葛藤なし,行動なし,4.25,5
104,4,葛藤なし,行動なし,4.0,4
105,4,葛藤なし,行動なし,4.0,5
106,4,葛藤なし,行動なし,5.5,6
107,4,葛藤なし,行動なし,5.0,5
108,4,葛藤なし,行動なし,1.0,1
109,4,葛藤なし,行動なし,3.0,2
110,4,葛藤なし,行動なし,5.5,5
111,4,葛藤なし,行動なし,4.0,4
112,4,葛藤なし,行動なし,5.5,6
113,4,葛藤なし,行動なし,6.25,5
114,4,葛藤なし,行動なし,2.75,2
115,4,葛藤なし,行動なし,5.25,5
116,4,葛藤なし,行動なし,6.5,6
117,4,葛藤なし,行動なし,2.5,2
118,4,葛藤なし,行動なし,5.0,5
119,4,葛藤なし,行動なし,6.25,5
120,4,葛藤なし,行動なし,5.0,5
121,4,葛藤なし,行動なし,4.75,7
122,4,葛藤なし,行動なし,6.25,6
123,4,葛藤なし,行動なし,4.5,5
124,4,葛藤なし,行動なし,6.0,6
125,4,葛藤なし,行動なし,5.0,5
126,4,葛藤なし,行動なし,4.25,5
